Move_ID,Miscrit_ID,Move_Name,Element,AP,Accuracy,Description,Enchant
1,1,Burn,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
2,1,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
3,1,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
4,1,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
5,1,Fire Flight,Fire,10.0,100%,An average Fire attack,+3 Attack Power
6,1,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
7,1,Bash,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
8,1,Campfire,Fire,15.0,95%,A powerful Fire attack,+3 Attack Power
9,1,Debilitate,Utility,0.0,100%,Lowers your foe's Defenses by 11,+3 to Debuff
10,1,Brimstone,Fire,20.0,95%,A very powerful Fire attack,+2 Attack Power
11,1,Bastion,Utility,0.0,100%,Raises your Elemental Defense and Physical Attack by 11,+3 to Buff
12,1,Mighty Bash,Physical,27.0,95%,A massively powerful Physical attack that heals yourself by 10 HP,+3 Attack Power
13,2,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
14,2,Wisp,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
15,2,Swipe,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
16,2,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
17,2,Sting,Nature,10.0,100%,An average Nature attack,+2 Attack Power
18,2,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
19,2,Thrive,Utility,0.0,100%,Raises your Defenses by 10,+2 to Buff
20,2,Photosynth,Utility,0.0,100%,Removes your elemental weakness,Replenishes 5 Health
21,2,Blitz,Physical,10.0,90%,An average Physical attack that hits 2 times,+10% Accuracy
22,2,Mother Nature,Nature,20.0,95%,A very powerful Nature attack,+4 Attack Power
23,2,Venom,Utility,0.0,85%,"Poisons your foe, causing 14 damage for 3 turns",+10% Accuracy
24,2,Bug Out,Nature,25.0,100%,A massively powerful Nature attack with a 40% chance to put foe to Sleep for 1 turn,+2 Attack Power
25,3,Sprinkle,Water,7.0,100%,A simple Water attack,+1 Attack Power
26,3,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
27,3,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
28,3,Sleep,Utility,0.0,40%,"Puts your foe to Sleep for 2 turns, or until you attack them",Replenishes 5 Health
29,3,Pincer Chop,Water,10.0,100%,An average Water attack,+2 Attack Power
30,3,Acid Rain,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
31,3,Claw,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
32,3,OverWater,Utility,0.0,100%,Removes your elemental weakness,Replenishes 5 Health
33,3,Overwhelm,Physical,20.0,90%,A very powerful Physical attack,+10% Accuracy
34,3,Fortitude Rejuvenation,Utility,0.0,100%,Raises your Defenses by 10 and heals yourself by 12 HP. 2 turns cooldown,+2 to Buff
35,3,Hydro,Water,25.0,95%,A massively powerful Water attack,+4 Attack Power
36,3,Clamp,Physical,14.0,90%,An average Physical attack that hits 2 times and raises your Defenses by 6,+10% Accuracy
37,4,Debaser,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
38,4,Wisp,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
39,4,Shove,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
40,4,Body Armor,Utility,0.0,100%,Raises your Physical Defense by 7,+1 to Buff
41,4,Leaf Blade,Nature,10.0,100%,An average Nature attack,+2 Attack Power
42,4,Toxic,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
43,4,Rejuvenate,Utility,0.0,90%,Regains a significant amount of your health,+10% Accuracy
44,4,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
45,4,Lotus,Nature,20.0,90%,A very powerful Nature attack,+10% Accuracy
46,4,Hard Jab,Physical,20.0,95%,A very powerful Physical attack,+4 Attack Power
47,4,Merlin's Beard,Utility,0.0,100%,Raises your Elemental Attack by 14,+3 to Buff
48,4,Dual Dragon,Nature,17.0,90%,A powerful Nature attack that hits 2 times,+10% Accuracy
49,5,Vines,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
50,5,Weaken,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
51,5,Swipe,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
52,5,Anger,Utility,0.0,100%,Raises your Physical Attack by 7,+2 to Buff
53,5,Gash,Physical,10.0,100%,An average Physical attack,+2 Attack Power
54,5,Tangle,Nature,10.0,95%,An average Nature attack,+5% Accuracy
55,5,Merciless,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
56,5,Reap,Nature,15.0,95%,A powerful Nature attack,Replenishes 5 Health
57,5,Mother Nature,Nature,20.0,95%,A very powerful Nature attack,+4 Attack Power
58,5,Laser Focus,Utility,0.0,100%,Raises your Accuracy by 20%,Replenishes 15 Health
59,5,Wicked Willow,Nature,25.0,95%,A massively powerful Nature attack that raises your Physical Attack by 10,+4 Attack Power
60,5,Ferocity,Physical,30.0,95%,A more than massively powerful Physical attack,+5 Attack Power
61,6,Burn,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
62,6,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
63,6,Bite,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
64,6,Shy Smile,Utility,0.0,100%,Lowers your foe's Attacks by 5,+1 to Debuff
65,6,Matchsticks,Fire,10.0,100%,An average Fire attack,+2 Attack Power
66,6,Feebler,Utility,0.0,100%,Lowers your foe's Defenses by 8,+2 to Debuff
67,6,Campfire,Fire,15.0,95%,A powerful Fire attack,+3 Attack Power
68,6,Claw,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
69,6,Fury,Utility,0.0,100%,Raises your Physical Attack by 14,+3 to Buff
70,6,Toxic,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
71,6,Balefire,Fire,25.0,90%,A massively powerful Fire attack,+10% Accuracy
72,6,Needle Rifle,Physical,5.0,100%,A simple Physical attack that hits 5 times and grants 8 healing for 2 turns,+1 Attack Power
73,7,Sprinkle,Water,7.0,100%,A simple Water attack,+1 Attack Power
74,7,Debaser,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
75,7,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
76,7,Sweet Lullaby,Utility,0.0,40%,"Puts your foe to Sleep for 2 turns, or until you attack them",Replenishes 5 Health
77,7,Water Dance,Water,10.0,100%,An average Water attack,+2 Attack Power
78,7,Whammy,Physical,10.0,100%,An average Physical attack,+2 Attack Power
79,7,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
80,7,Spring Shower,Water,15.0,95%,A powerful Water attack,+3 Attack Power
81,7,Storm,Water,20.0,95%,A very powerful Water attack,+4 Attack Power
82,7,Tears,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
83,7,Freak Out,Physical,10.0,95%,An average Physical attack that hits 3 times and raises your Elemental Attack by 10,+5% Accuracy
84,7,Flood,Water,25.0,90%,A massively powerful Water attack that raises your Physical Attack by 10,+10% Accuracy
85,8,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
86,8,Spray,Water,7.0,100%,A simple Water attack,+1 Attack Power
87,8,Bite,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
88,8,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
89,8,Snout Rush,Physical,10.0,100%,An average Physical attack,+30% chance of Stats Chaos
90,8,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
91,8,H2O,Water,15.0,90%,A powerful Water attack,+10% Accuracy
